nutrients,temperature (°C),temp_treat,crab size (g wet mass),crab_treat,small amphipods (abundance),C. marinus (abundance),C. storensis (abundance),G. duebensis (abundance),G. finmarchius (abundance),G. salinus (abundance),G. zaddachi (abundance),Orchestria spp. (abundance),T. saltador (abundance),Cladophora sp. (g dry mass),Corallina sp. (g dry mass),Ectocarpus sp. (g dry mass),F. serratus (g dry mass),M. stellatus (g dry mass),U. lactuca (g dry mass)
0,8.86,ambient,0.00,absent,78,42,22,0,5,0,0,0,0,1.6,9.49,0.13,5.88,1.35,1.88
0,9.00,ambient,0.00,absent,96,25,14,0,4,0,0,0,3,1.27,8.54,0,5.66,1.4,1.21
0,9.33,ambient,0.00,absent,174,60,11,0,13,0,0,0,0,1.92,8.48,1.12,5.5,1.19,0.63
0,9.47,ambient,0.00,absent,149,33,9,0,17,0,0,0,0,2.49,12.43,0.84,11.12,1.8,0.11
0,8.85,ambient,6.68,present,37,5,1,0,0,0,0,0,0,2.02,8.35,0.69,7.8,1.1,5.33
0,9.01,ambient,7.44,present,7,1,0,0,0,0,0,0,0,1.74,8.51,12.9,7.73,1.39,0.73
0,9.51,ambient,8.21,present,5,1,0,0,0,0,0,0,0,2.75,7.82,0,8.81,1.78,0
0,8.92,ambient,4.96,present,12,5,2,0,0,0,0,0,0,2.23,9.63,0.14,9.44,1.32,0.15
0,9.39,ambient,4.27,present,5,0,0,0,1,0,0,0,0,2.17,8.8,0.5,8.51,1.23,1.84
0,8.90,ambient,2.38,present,8,0,0,0,0,0,0,0,0,1.47,9.37,0,11.1,1.31,0.88
0,9.34,ambient,3.45,present,1,3,0,0,0,0,0,0,0,1.57,11.21,0,7.16,1.35,0.31
0,9.79,ambient,2.55,present,39,0,1,0,0,0,0,0,0,2.89,9.91,0.28,9.17,2.25,0
0,9.05,ambient,1.46,present,13,23,0,0,1,0,0,0,0,2.11,10.08,0.37,9.53,1.34,1.73
0,9.10,ambient,1.68,present,6,0,0,0,0,0,0,0,0,1.25,7.19,1.72,9.42,1.67,0.94
0,9.33,ambient,1.42,present,53,9,1,0,5,0,0,0,0,1.74,7.68,0,6.46,1.3,1.56
1,8.71,heated,0.00,absent,85,57,17,0,2,0,0,1,0,1.17,9.44,0,8.32,1.4,3.02
1,9.29,ambient,0.00,absent,137,41,18,0,9,0,0,1,0,1.56,8.6,0,6.62,1.22,0.4
1,9.39,ambient,0.00,absent,69,38,12,0,3,0,0,1,0,1.56,8.79,1.16,6.27,2.43,0.09
1,9.73,ambient,0.00,absent,164,46,12,0,19,0,0,0,0,1.46,8.18,2.31,7.56,1.03,0.97
1,10.23,ambient,0.00,absent,70,38,11,0,7,0,0,0,0,1.28,8.75,0.03,5.48,1.69,8
1,8.86,ambient,7.82,present,5,5,0,0,5,0,0,0,0,2.25,8.27,0,6.98,1.96,0
1,9.28,ambient,7.82,present,9,0,0,0,0,0,0,0,0,1.57,9.25,0.03,8.8,0.95,0.22
1,9.70,ambient,7.06,present,10,6,3,0,0,0,0,0,0,3.59,8.19,0,7.04,1.37,0.64
1,10.66,ambient,7.45,present,3,7,1,0,0,0,0,0,0,1.93,8.41,2.67,7.47,1.67,0.85
1,9.13,ambient,3.81,present,2,9,0,0,3,0,0,0,0,1.9,7.46,0,6.99,0.81,0.71
1,9.86,ambient,3.81,present,3,4,0,0,0,0,0,0,0,1.69,9.73,0.23,7.78,1.07,0.76
1,8.64,ambient,2.81,present,23,5,2,0,0,0,0,0,0,2.09,8.28,0.17,9.34,1.4,0
1,8.81,ambient,3.59,present,7,10,4,0,0,0,0,0,0,1.8,6.91,0.15,8.2,1.34,3
1,9.01,ambient,1.56,present,1,1,0,0,1,0,0,0,0,0.87,8.81,0,7.69,1.68,0.69
1,9.26,ambient,2.24,present,14,5,1,0,0,0,0,0,0,1.25,7.81,0.06,5.02,1.82,0.31
1,9.56,ambient,2.24,present,13,2,0,0,0,0,1,0,0,1.45,9.28,0,6.36,1.37,9.9
1,9.12,ambient,1.41,present,1,0,0,0,0,0,0,0,0,1.35,10.09,0.26,8.74,1.04,0.99
1,9.29,ambient,1.24,present,11,0,0,0,2,0,0,0,0,1.71,9.37,0.84,6.28,1.17,0.52
1,9.49,ambient,1.27,present,1,1,1,0,0,0,0,0,0,2.81,9.49,0.2,5.97,1.26,0.74
1,9.52,ambient,1.25,present,7,0,0,0,0,0,0,0,0,1.31,6.87,0.21,8.11,1.11,0.04
0,11.69,heated,0.00,absent,136,51,14,1,5,0,0,0,0,1.08,9.85,0.03,7.63,1.44,1.35
0,12.46,heated,0.00,absent,277,55,2,0,14,0,0,0,0,1.73,8.83,0,8.07,1.21,2.09
0,12.93,heated,0.00,absent,58,32,4,0,8,0,0,0,0,1.66,6.6,2.37,5.93,1.51,0.43
0,13.21,heated,0.00,absent,150,50,12,0,7,1,0,0,0,1.52,9.2,0,5.91,1.47,0
0,12.26,heated,6.35,present,1,0,0,0,0,0,0,0,0,1.42,8.93,1.18,8.44,1.02,1.16
0,12.72,heated,8.55,present,41,0,0,0,0,0,0,0,0,0.81,5.27,0,9.52,0.9,0.46
0,12.85,heated,4.42,present,11,0,0,0,0,0,0,0,0,1.59,7.33,0,8.34,0.45,0.96
0,12.91,heated,4.77,present,10,3,1,0,0,0,0,0,0,2.28,10.36,0.03,10.34,1.42,0.87
0,11.59,heated,2.23,present,8,0,0,0,1,0,0,0,0,1.61,7.92,0.03,6.57,0.75,0.65
0,12.13,heated,2.24,present,3,2,0,0,0,0,0,0,0,1.72,9.33,0.05,6.11,1.41,7.74
0,12.32,heated,3.10,present,34,0,0,0,2,0,0,0,0,1.29,8.98,0,7.81,2.36,5.91
0,13.03,heated,2.84,present,21,0,0,0,0,0,0,0,0,1.87,7.45,0,5.72,1.74,0.58
0,14.75,heated,2.60,present,23,0,0,0,0,0,0,0,0,1.41,10.18,0.62,10.42,1.83,4.94
0,11.93,heated,1.61,present,6,1,0,0,0,0,0,0,0,1.22,10.18,1.08,8.84,2.03,2.45
0,11.95,heated,1.70,present,1,1,1,0,0,0,0,0,0,1.86,9.21,0.04,5.17,1.46,2.05
0,12.21,heated,1.87,present,10,0,0,0,2,0,0,0,0,1.85,9.48,0,8.83,0.98,1.99
0,12.88,heated,1.52,present,2,0,0,0,0,0,0,0,0,0.66,6.34,0,8.01,0.9,0.33
0,14.90,heated,1.68,present,23,2,2,0,0,0,0,0,0,1.06,6.3,0,10.32,1.81,2.37
1,11.53,heated,0.00,absent,253,59,8,0,9,0,0,0,0,2.61,10.03,0,3.88,1.95,0.43
1,12.34,heated,0.00,absent,49,20,12,0,0,0,0,0,0,1.8,8.95,1.08,7.13,1.83,2.53
1,12.89,heated,0.00,absent,61,30,7,0,3,0,0,5,0,0.85,7.87,0,6.02,1.66,0
1,11.77,heated,7.22,present,16,3,0,0,2,0,0,0,0,1.13,6.86,0.1,6.69,0.75,0
1,11.93,heated,7.23,present,16,0,1,0,2,0,0,0,0,1.25,8.53,0.07,9.19,1.43,1.22
1,12.48,heated,8.93,present,1,0,0,0,0,0,0,0,0,1.28,7.02,0.01,6.79,0.85,0
1,13.02,heated,7.06,present,9,0,0,0,1,0,0,0,0,1.33,7.71,0,7.09,1.59,0
1,13.74,heated,7.22,present,11,4,1,0,0,0,0,0,0,1.14,8.29,0,7.81,1.5,2.07
1,10.24,heated,4.24,present,4,4,1,0,1,0,0,0,0,1.46,7.98,0.38,6.66,1.46,0.13
1,11.87,heated,4.87,present,41,5,0,0,1,0,0,0,0,1.05,10.2,1.05,10.12,1.54,0.1
1,12.10,heated,5.03,present,12,2,0,0,0,0,0,0,0,1.69,8.58,0,8.7,0.75,3.66
1,12.68,heated,5.43,present,15,0,0,0,0,0,0,0,0,1.36,6.46,0.07,8.51,1.42,0.36
1,11.97,heated,2.87,present,16,6,2,0,1,0,0,0,0,1.17,8.16,1.38,8.67,1.43,2.03
1,14.16,heated,3.12,present,21,3,0,0,0,0,0,0,0,1.85,8.68,0.03,7.34,0.75,0.88
1,12.94,heated,1.77,present,13,0,0,0,0,0,0,0,0,1.15,8.48,0.08,8.17,1.65,6.07
1,13.64,heated,1.68,present,3,0,0,0,0,0,0,0,0,2.14,9.11,0.39,9.72,1.39,0
1,13.87,heated,1.78,present,11,0,0,0,0,0,0,0,0,1.41,7.42,3.73,7.3,2.11,0.74