Channel_flume,Treatment,Moss,Sand,Dispersal,Asellus aquaticus,Elmis aenea,Limnius volckmari,Dytiscidae,Leptophlebia sp.,Kageronia fuscogrisea,Heptagenia sulphurea,Caenis rivulorum,Ephemerella mucronata,Seratella ignita,Baetis rhodani,Baetis muticus,Centroptilum luteolum,Baetis subalpinus,Baetis fuscatus,Isoperla sp.,Diura sp.,Nemoura sp.,Taeniopteryx nebulosa,Amphinemura borealis,Hydropsyche siltalai,Hydropsyche pellucidula,Hydropsyche angustipennis,Cheumatopsyche lepida,Polycentropus flavomaculatus,Polycentropus irrotatus,Neureclipsis bimaculata,Rhyacophila nubila,Ceratopsyche nevae,Lepidostoma hirtum,Ceraclea dissimilis,Arthripsodes sp.,Ylodes sp.,Micrasema setiferum,Hydroptila sp.,Oxyethira sp.,Ithytrichia sp.,Pisidium sp.,Sphaerium sp.,Gyraulus sp.,Radix peregra,Anodonta anatina,Tanypodinae,Chrinominae,Diamesinae,Orthocladiinae,Prodiamesinae,Simuliidae,Limnophora sp.,Dicranota sp.,Wiedemannia sp.,Ceratopogonidae,Chaoborus sp.,Oligochaeta,Glossiphonia complanata,Erpobdella octoculata,Nematoda,Dendrocoelum lacteum,Anisoptera,Hydracarina
3_3,Co,No,No,No,328.7197232,51.90311419,0,0,95.15570934,8.650519031,216.2629758,43.25259516,17.30103806,0,155.7093426,51.90311419,0,0,17.30103806,138.4083045,0,8.650519031,34.60207612,25.95155709,198.9619377,77.85467128,0,0,311.4186851,0,354.6712803,95.15570934,0,51.90311419,0,0,0,0,0,17.30103806,0,0,0,25.95155709,95.15570934,0,452.9726329,50.33029255,50.33029255,0,0,0,0,0,0,0,0,0,0,0,0,17.30103806,0,0
4_4,Co,No,No,No,153.8461538,121.7948718,0,0,108.974359,32.05128205,76.92307692,102.5641026,12.82051282,0,198.7179487,44.87179487,0,0,19.23076923,147.4358974,0,12.82051282,19.23076923,51.28205128,365.3846154,57.69230769,0,6.41025641,564.1025641,0,391.025641,153.8461538,0,134.6153846,0,6.41025641,0,0,12.82051282,102.5641026,6.41025641,0,0,51.28205128,70.51282051,0,906.3804413,45.31902207,22.65951103,0,0,6.41025641,0,0,0,0,0,6.41025641,0,0,0,19.23076923,0,0
5_4,Co,No,No,No,64.1025641,25.64102564,0,0,153.8461538,57.69230769,256.4102564,115.3846154,19.23076923,6.41025641,192.3076923,32.05128205,0,0,0,211.5384615,0,12.82051282,12.82051282,102.5641026,506.4102564,64.1025641,0,0,275.6410256,0,506.4102564,192.3076923,0,185.8974359,0,0,0,0,0,115.3846154,0,0,0,38.46153846,44.87179487,0,632.5828643,74.42151344,37.21075672,18.60537836,0,6.41025641,0,0,0,0,0,0,0,0,0,12.82051282,6.41025641,0
2_4,Disp,No,No,Yes,692.0415225,112.4567474,51.90311419,0,121.1072664,173.0103806,190.3114187,69.20415225,8.650519031,0,190.3114187,77.85467128,0,0,17.30103806,302.7681661,0,0,25.95155709,25.95155709,692.0415225,198.9619377,0,17.30103806,173.0103806,0,285.467128,250.8650519,0,77.85467128,0,0,0,0,0,17.30103806,0,0,25.95155709,0,69.20415225,0,523.183391,24.91349481,49.82698962,24.91349481,0,0,0,8.650519031,0,0,0,8.650519031,8.650519031,25.95155709,0,0,0,0
1_2,Disp,No,No,Yes,181.6608997,190.3114187,0,0,112.4567474,0,112.4567474,8.650519031,0,8.650519031,155.7093426,60.55363322,0,8.650519031,17.30103806,415.2249135,0,8.650519031,69.20415225,51.90311419,467.1280277,224.9134948,0,51.90311419,129.7577855,0,519.0311419,121.1072664,0,259.5155709,0,0,0,8.650519031,0,17.30103806,0,276.816609,0,43.25259516,51.90311419,0,363.3217993,181.6608997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_1,Disp,No,No,Yes,108.974359,102.5641026,6.41025641,0,76.92307692,44.87179487,108.974359,32.05128205,19.23076923,0,198.7179487,76.92307692,0,0,19.23076923,147.4358974,0,19.23076923,19.23076923,19.23076923,423.0769231,134.6153846,0,6.41025641,179.4871795,0,564.1025641,89.74358974,0,500,12.82051282,0,0,0,25.64102564,153.8461538,0,480.7692308,25.64102564,89.74358974,6.41025641,6.41025641,290.346908,0,82.95625942,331.8250377,0,0,6.41025641,6.41025641,0,0,0,0,0,0,0,6.41025641,0,0
3_2,Sand,No,Yes,No,103.8062284,173.0103806,0,0,0,25.95155709,51.90311419,60.55363322,0,0,129.7577855,25.95155709,0,0,8.650519031,147.0588235,0,8.650519031,8.650519031,34.60207612,216.2629758,69.20415225,0,0,43.25259516,0,69.20415225,207.6124567,0,60.55363322,0,0,0,0,0,8.650519031,0,0,0,17.30103806,86.50519031,0,229.9596309,0,20.90542099,0,0,0,0,0,0,0,0,0,0,0,0,8.650519031,0,0
4_3,Sand,No,Yes,No,70.51282051,128.2051282,0,0,6.41025641,25.64102564,25.64102564,64.1025641,12.82051282,6.41025641,70.51282051,38.46153846,0,0,12.82051282,243.5897436,0,25.64102564,64.1025641,32.05128205,602.5641026,76.92307692,0,0,173.0769231,0,192.3076923,205.1282051,0,173.0769231,0,12.82051282,0,0,0,6.41025641,0,0,0,19.23076923,6.41025641,0,210,16.15384615,96.92307691,80.76923076,0,19.23076923,0,0,0,0,0,0,0,0,0,6.41025641,0,0
5_1,Sand,No,Yes,No,76.92307692,96.15384615,0,0,44.87179487,0,6.41025641,96.15384615,19.23076923,0,160.2564103,32.05128205,0,0,6.41025641,141.025641,0,12.82051282,0,70.51282051,224.3589744,108.974359,0,12.82051282,64.1025641,0,192.3076923,57.69230769,0,365.3846154,0,6.41025641,0,0,0,38.46153846,25.64102564,0,0,25.64102564,25.64102564,0,505.9171598,56.21301775,56.21301775,56.21301775,56.21301775,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0
2_1,Sand*Disp,No,Yes,Yes,86.50519031,207.6124567,43.25259516,0,0,17.30103806,51.90311419,155.7093426,17.30103806,0,233.5640138,25.95155709,0,17.30103806,17.30103806,147.0588235,0,0,51.90311419,25.95155709,1038.062284,250.8650519,17.30103806,17.30103806,34.60207612,0,181.6608997,268.16609,0,216.2629758,0,0,0,0,0,25.95155709,0,8.650519031,60.55363322,8.650519031,17.30103806,0,124.567474,0,83.04498268,0,0,0,8.650519031,0,0,0,0,8.650519031,0,0,0,8.650519031,0,0
1_4,Sand*Disp,No,Yes,Yes,233.5640138,224.9134948,0,0,0,8.650519031,43.25259516,121.1072664,0,0,311.4186851,69.20415225,0,17.30103806,17.30103806,320.0692042,0,0,34.60207612,77.85467128,1237.024221,242.2145329,0,0,17.30103806,0,354.6712803,216.2629758,8.650519031,354.6712803,8.650519031,0,0,0,0,0,0,103.8062284,95.15570934,8.650519031,17.30103806,0,161.4763552,0,161.4763552,40.36908881,0,17.30103806,17.30103806,0,0,0,0,17.30103806,0,0,0,0,0,0
6_3,Sand*Disp,No,Yes,Yes,256.4102564,121.7948718,19.23076923,0,38.46153846,6.41025641,38.46153846,32.05128205,38.46153846,6.41025641,256.4102564,57.69230769,0,0,12.82051282,217.9487179,0,12.82051282,32.05128205,32.05128205,833.3333333,108.974359,0,32.05128205,25.64102564,0,230.7692308,108.974359,0,621.7948718,6.41025641,0,0,6.41025641,0,96.15384615,0,12.82051282,185.8974359,25.64102564,6.41025641,12.82051282,201.3574661,0,201.3574661,167.7978884,0,6.41025641,0,12.82051282,0,0,0,0,0,25.64102564,0,19.23076923,0,0
3_1,Moss,Yes,No,No,181.6608997,138.4083045,0,0,415.2249135,8.650519031,34.60207612,60.55363322,25.95155709,0,77.85467128,51.90311419,0,0,8.650519031,103.8062284,0,8.650519031,43.25259516,51.90311419,423.8754325,60.55363322,0,8.650519031,371.9723183,0,285.467128,77.85467128,0,8.650519031,0,0,0,0,0,17.30103806,0,0,0,112.4567474,112.4567474,0,2355.103807,118.9446367,190.3114187,0,0,25.95155709,0,0,0,0,0,0,0,0,0,0,0,0
4_1,Moss,Yes,No,No,128.2051282,108.974359,0,6.41025641,243.5897436,6.41025641,0,19.23076923,0,0,64.1025641,12.82051282,6.41025641,6.41025641,0,57.69230769,0,12.82051282,6.41025641,25.64102564,198.7179487,25.64102564,0,6.41025641,416.6666667,0,282.0512821,38.46153846,0,19.23076923,0,0,0,0,0,12.82051282,0,0,0,12.82051282,19.23076923,0,1831.607495,371.8300929,13.77148492,289.2011834,0,51.28205128,44.87179487,0,0,0,0,0,0,0,0,0,0,0
5_2,Moss,Yes,No,No,57.69230769,115.3846154,0,0,288.4615385,6.41025641,6.41025641,12.82051282,0,0,51.28205128,19.23076923,25.64102564,0,6.41025641,96.15384615,0,6.41025641,0,38.46153846,551.2820513,12.82051282,6.41025641,12.82051282,224.3589744,6.41025641,108.974359,25.64102564,6.41025641,25.64102564,0,0,0,0,0,64.1025641,0,0,0,38.46153846,12.82051282,0,1765.637141,233.1973582,133.2556333,66.62781664,0,12.82051282,0,0,0,0,0,0,0,0,0,0,0,0
1_3,Moss*Disp,Yes,No,Yes,389.2733564,198.9619377,17.30103806,0,302.7681661,0,25.95155709,25.95155709,8.650519031,0,69.20415225,25.95155709,0,0,0,224.9134948,0,17.30103806,43.25259516,8.650519031,1686.851211,138.4083045,0,25.95155709,346.0207612,0,207.6124567,86.50519031,0,25.95155709,8.650519031,0,0,0,0,25.95155709,0,8.650519031,60.55363322,17.30103806,0,0,2035.294118,718.3391004,119.7231834,119.7231834,0,8.650519031,0,0,0,0,0,0,0,0,0,8.650519031,0,0
2_3,Moss*Disp,Yes,No,Yes,380.6228374,112.4567474,0,0,363.3217993,17.30103806,95.15570934,34.60207612,25.95155709,8.650519031,60.55363322,0,0,0,0,95.15570934,0,17.30103806,8.650519031,17.30103806,3347.750865,276.816609,34.60207612,86.50519031,147.0588235,0,294.1176471,95.15570934,0,86.50519031,0,0,0,8.650519031,0,25.95155709,0,43.25259516,0,17.30103806,8.650519031,0,1775.505256,217.7506446,67.00019834,569.5016859,0,0,8.650519031,0,8.650519031,8.650519031,0,8.650519031,0,0,0,0,0,0
6_2,Moss*Disp,Yes,No,Yes,166.6666667,128.2051282,0,0,192.3076923,19.23076923,32.05128205,38.46153846,12.82051282,0,38.46153846,6.41025641,0,0,6.41025641,57.69230769,0,25.64102564,6.41025641,12.82051282,1211.538462,83.33333333,0,32.05128205,160.2564103,0,455.1282051,57.69230769,0,307.6923077,12.82051282,0,0,0,12.82051282,57.69230769,6.41025641,64.1025641,224.3589744,32.05128205,0,0,1259.932375,114.5393068,171.8089603,190.8988447,0,0,0,12.82051282,6.41025641,12.82051282,0,0,0,0,0,6.41025641,0,0
3_4,Moss*Sand,Yes,Yes,No,253.7485582,126.8742791,0,0,196.0784314,0,34.60207612,103.8062284,0,0,57.67012687,34.60207612,0,0,0,126.8742791,0,34.60207612,46.1361015,34.60207612,369.088812,34.60207612,0,0,149.9423299,0,357.5547866,57.67012687,0,80.73817762,0,0,0,0,0,69.20415225,0,0,0,23.06805075,23.06805075,0,973.3564011,67.12802766,33.56401383,44.75201844,0,0,0,0,0,0,0,0,0,0,0,11.53402537,0,0
4_2,Moss*Sand,Yes,Yes,No,115.3846154,173.0769231,0,0,115.3846154,0,0,38.46153846,6.41025641,0,25.64102564,32.05128205,0,19.23076923,0,179.4871795,0,25.64102564,6.41025641,6.41025641,935.8974359,83.33333333,0,0,179.4871795,0,166.6666667,70.51282051,0,205.1282051,12.82051282,0,0,0,0,6.41025641,0,0,0,38.46153846,6.41025641,0,1562.851783,183.8649156,137.8986867,0,0,12.82051282,0,0,0,6.41025641,0,0,0,0,0,0,0,0
5_3,Moss*Sand,Yes,Yes,No,108.974359,115.3846154,0,0,108.974359,0,0,89.74358974,19.23076923,0,25.64102564,6.41025641,0,12.82051282,0,83.33333333,0,12.82051282,38.46153846,57.69230769,211.5384615,25.64102564,0,0,96.15384615,0,211.5384615,51.28205128,0,262.8205128,6.41025641,0,6.41025641,0,0,19.23076923,6.41025641,0,0,64.1025641,19.23076923,0,884.6153847,115.3846154,0,153.8461539,0,12.82051282,6.41025641,0,0,0,0,0,0,0,0,6.41025641,0,6.41025641
1_1,Moss*Sand*Disp,Yes,Yes,Yes,363.3217993,198.9619377,8.650519031,0,147.0588235,0,8.650519031,69.20415225,0,0,51.90311419,17.30103806,0,0,0,95.15570934,0,17.30103806,17.30103806,51.90311419,2396.193772,147.0588235,0,69.20415225,34.60207612,0,406.5743945,77.85467128,0,397.9238754,0,0,0,0,0,17.30103806,0,0,302.7681661,43.25259516,17.30103806,0,1271.626297,0,302.7681661,423.8754325,0,0,17.30103806,0,0,0,0,0,0,0,0,17.30103806,0,8.650519031
2_2,Moss*Sand*Disp,Yes,Yes,Yes,216.2629758,311.4186851,8.650519031,0,155.7093426,8.650519031,34.60207612,86.50519031,8.650519031,0,34.60207612,17.30103806,8.650519031,0,0,181.6608997,8.650519031,77.85467128,69.20415225,95.15570934,2413.49481,155.7093426,0,69.20415225,164.3598616,0,441.1764706,121.1072664,0,198.9619377,0,17.30103806,0,0,0,8.650519031,8.650519031,77.85467128,77.85467128,43.25259516,8.650519031,0,1069.204152,0,594.0023067,118.8004613,0,0,17.30103806,17.30103806,0,17.30103806,0,8.650519031,0,0,8.650519031,8.650519031,0,0
6_4,Moss*Sand*Disp,Yes,Yes,Yes,212.4742975,178.2042495,0,0,109.6641535,6.854009596,6.854009596,54.83207676,47.97806717,0,34.27004798,6.854009596,0,0,6.854009596,95.95613434,0,20.56202879,34.27004798,13.70801919,1679.232351,75.39410555,0,27.41603838,68.54009596,0,431.8026045,41.12405757,0,164.4962303,6.854009596,0,0,0,0,0,6.854009596,0,0,41.12405757,13.70801919,0,678.2400541,0,78.25846778,991.2739252,0,13.70801919,0,13.70801919,6.854009596,0,20.56202879,0,6.854009596,6.854009596,0,20.56202879,0,0