Microcosm,Habitat,Treatment_code,Nutrients,Sediment,Insecticide,Acari,Agraylea,Ameletus,Baetidae,Bezzia,Calineuria,Capnia,Centroptilum,Chironomidae,Chironominae,Cinygmula,Collembola,Dicranota,Ecclisomyia,Elmidae,Empididae,Epeorus,Hesperoperla,Heterlimnius,Hydropsyche,Kathroperla,Lara,Micrasema,Narpus,Nematoda,Orthocladiinae,Paraleptophlebia,Perlidae,Perlomyia,Plecoptera,Podonominae,Pteronarcys,Rhithrogena,Rhyacophila,Serratella,Tanypodinae,Tipula,Tipulidae,Zaitzevia
1,gravel,Control,0,0,0,0,4,2,0,1,2,0,1,3,14,0,0,2,11,1,0,0,0,12,0,3,2,0,0,0,40,1,0,0,0,1,0,0,11,3,1,1,3,0
2,gravel,S,0,1,0,2,4,0,0,0,1,7,0,0,117,0,0,1,3,0,0,2,0,14,0,3,1,0,0,0,9,0,0,0,0,0,0,0,4,4,1,0,1,0
3,gravel,Control,0,0,0,0,0,0,1,2,1,2,0,1,20,1,0,2,8,0,0,0,0,17,0,2,1,0,0,0,16,1,0,0,0,0,1,0,4,1,0,0,0,0
4,gravel,N,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,1,3,0,0,0,0,12,0,4,0,0,0,0,37,0,1,0,0,0,0,0,6,2,0,0,0,2
5,gravel,N*S,1,1,0,1,1,0,0,1,5,0,0,0,27,0,0,0,13,0,1,0,0,17,0,4,0,0,0,0,17,3,0,0,0,0,0,0,12,7,0,0,0,0
6,gravel,S,0,1,0,0,4,0,1,7,1,4,0,1,12,2,0,0,4,0,0,3,0,14,1,4,0,0,0,0,6,8,0,0,0,0,1,0,4,4,2,1,0,0
7,gravel,N*I,1,0,1,2,5,3,0,1,2,7,0,0,56,0,0,1,9,0,0,0,0,12,0,4,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,1,0,0
8,gravel,N*S,1,1,0,1,1,2,0,1,1,1,1,0,17,0,0,2,1,1,0,0,0,7,0,9,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1
9,gravel,Control,0,0,0,1,1,2,0,1,6,10,3,0,16,5,0,1,10,0,0,2,0,2,0,11,1,2,0,0,24,12,0,1,1,0,1,0,4,18,1,1,0,0
10,gravel,S*I,0,1,1,2,1,1,0,0,1,0,0,0,16,0,0,0,4,0,0,2,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
11,gravel,N*S,1,1,0,0,0,0,0,1,1,1,0,0,12,0,0,0,3,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
12,gravel,N*S*I,1,1,1,3,0,0,0,0,2,2,0,0,25,0,0,2,6,0,0,0,1,3,0,5,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0
13,gravel,Control,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,20,0,0,0,1,13,1,3,0,0,1,0,1,1,0,0,0,0,0,0,2,3,1,0,0,0
14,gravel,I,0,0,1,0,0,1,1,1,0,3,0,1,35,0,1,0,34,0,0,0,0,11,0,2,0,0,0,0,4,2,0,0,0,0,0,0,4,2,2,0,0,1
15,gravel,I,0,0,1,0,0,0,0,5,0,1,0,1,30,0,0,0,33,0,0,0,0,8,0,1,0,1,0,0,12,1,0,0,0,0,0,0,3,0,1,0,0,0
16,gravel,I,0,0,1,1,0,0,0,3,1,0,4,1,48,0,0,0,36,0,0,0,0,6,0,2,1,1,0,0,2,0,0,0,0,0,0,0,3,0,2,2,0,1
17,gravel,N,1,0,0,1,0,0,0,2,0,2,0,1,11,0,0,1,4,0,0,0,1,7,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
19,gravel,N*I,1,0,1,3,0,0,0,2,1,2,1,1,37,0,0,1,3,0,0,0,0,17,0,4,2,0,0,0,7,2,0,0,0,0,0,0,8,1,2,1,0,0
20,gravel,N*S*I,1,1,1,0,1,0,0,0,0,0,1,0,6,0,0,0,1,2,0,0,1,4,0,1,1,0,0,0,6,3,0,0,0,0,0,0,1,0,0,1,0,0
21,gravel,N*S*I,1,1,1,2,1,0,0,6,1,1,0,0,72,0,0,4,6,0,0,0,0,12,0,1,0,0,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,0
22,gravel,N,1,0,0,0,0,0,0,1,0,4,0,1,13,0,0,0,2,0,0,3,1,12,0,5,0,2,0,0,6,3,0,0,0,0,0,0,1,3,0,0,0,0
23,gravel,N,1,0,0,0,2,0,0,2,1,0,1,0,34,0,0,3,33,0,0,0,1,21,0,4,0,0,0,0,9,1,0,0,0,0,0,0,1,1,2,0,0,0
24,gravel,S,0,1,0,0,0,0,1,1,0,4,0,0,48,0,0,1,9,0,0,0,1,6,0,4,0,0,0,0,12,8,0,0,1,0,0,0,6,7,2,0,0,0
25,gravel,S*I,0,1,1,2,2,1,0,1,2,2,0,0,48,0,0,1,7,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,0,0
26,gravel,S,0,1,0,2,1,0,0,1,0,2,0,0,33,0,1,0,13,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,1,0,0
27,gravel,N*S*I,1,1,1,1,0,0,0,1,1,2,0,0,19,0,0,2,15,2,0,0,0,13,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0
28,gravel,S*I,0,1,1,0,0,0,0,1,0,1,0,0,33,0,0,1,17,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1
29,gravel,I,0,0,1,1,0,0,0,4,0,6,0,2,68,0,0,0,21,1,0,4,2,7,10,2,0,2,0,0,26,13,0,0,0,0,0,2,3,7,0,1,0,0
30,gravel,N*I,1,0,1,0,2,0,0,3,0,6,0,0,36,0,0,0,14,1,0,0,2,7,1,6,0,0,0,0,11,11,0,0,0,0,0,3,6,2,0,0,0,0
32,gravel,N*S,1,1,0,0,1,1,0,0,0,0,0,1,23,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0