Microcosm,Habitat,Treatment_code,Nutrients,Sediment,Insecticide,Bezzia,Capnia,Chironomidae,Chironominae,Drunella,Ecclisomyia,Empididae,Hesperoperla,Heterlimnius,Hydropsyche,Lara,Orthocladiinae,Paraleptophlebia,Perlomyia,Pteronarcys,Rhyacophila,Serratella,Tanypodinae
1,leaf,Control,0,0,0,0,4,2,2,0,4,0,0,1,1,0,20,0,0,0,0,2,2
2,leaf,S,0,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,1,0,0
3,leaf,Control,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,2,0,0
4,leaf,N,1,0,0,0,1,0,5,0,2,0,0,1,0,0,10,0,0,0,1,0,1
5,leaf,N*S,1,1,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0
6,leaf,S,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0
7,leaf,N*I,1,0,1,0,0,1,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0
8,leaf,N*S,1,1,0,1,0,0,5,0,1,0,0,1,0,0,4,1,0,0,0,0,0
9,leaf,Control,0,0,0,0,0,1,10,0,0,0,0,0,0,0,10,0,0,0,2,2,0
10,leaf,S*I,0,1,1,0,3,1,4,0,2,0,0,0,0,0,9,0,0,0,0,1,2
11,leaf,N*S,1,1,0,1,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0
12,leaf,N*S*I,1,1,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0
13,leaf,Control,0,0,0,0,1,1,2,0,10,0,0,0,0,0,7,0,1,0,0,0,0
14,leaf,I,0,0,1,0,0,0,3,0,8,0,0,0,0,0,1,0,0,0,0,1,0
15,leaf,I,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,leaf,I,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0
17,leaf,N,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,leaf,N*I,1,0,1,1,0,1,10,0,2,0,0,0,0,0,3,0,0,1,0,0,1
20,leaf,N*S*I,1,1,1,0,0,0,1,0,2,0,0,1,0,0,20,0,0,0,1,0,0
21,leaf,N*S*I,1,1,1,0,0,2,6,0,4,0,0,0,0,0,4,0,0,0,0,0,0
22,leaf,N,1,0,0,0,0,1,8,0,2,0,0,0,0,0,3,0,0,0,0,0,0
23,leaf,N,1,0,0,0,0,0,6,0,11,0,1,2,0,0,2,0,0,0,0,0,0
24,leaf,S,0,1,0,1,0,0,3,0,14,0,0,1,0,0,3,0,0,0,0,0,0
25,leaf,S*I,0,1,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0
26,leaf,S,0,1,0,0,0,0,9,0,4,0,0,2,0,0,3,0,0,0,0,0,0
27,leaf,N*S*I,1,1,1,0,0,0,6,0,3,0,0,0,0,0,16,0,0,0,0,0,1
28,leaf,S*I,0,1,1,0,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6,0
29,leaf,I,0,0,1,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,1,0,0
30,leaf,N*I,1,0,1,0,0,0,1,0,6,0,0,1,0,0,2,0,0,0,0,0,1
32,leaf,N*S,1,1,0,0,0,1,7,0,4,0,0,3,0,0,4,0,0,0,0,0,0