filename,variable,group_id,mean,se,sd,n,error_type,plot_type
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S0_I0,2.848,0.476,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S0_I0,0.285,0.034,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S0_I0,0.328,0.102,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S0_I0,57.5,24.36,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S0_I0,48.75,10.05,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S0_I0,79.75,11.82,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S0_I0,10.34,2.507,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S0_I0,0.714,0.179,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S0_I0,0.483,0.068,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S0_I0,38,16.68,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S0_I0,108.75,21.31,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S0_I0,87.25,12.95,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S1_I0,4.297,0.852,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S1_I0,0.228,0.024,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S1_I0,0.365,0.108,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S1_I0,9.5,3.175,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S1_I0,117.75,43.79,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S1_I0,57,6.494,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S0_I1,3.622,0.955,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S0_I1,0.299,0.034,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S0_I1,0.246,0.043,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S0_I1,35.25,11.12,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S0_I1,58,10.99,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S0_I1,72.25,12.49,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S1_I0,14.06,3.741,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S1_I0,0.466,0.105,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S1_I0,0.549,0.119,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S1_I0,29.25,15.65,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S1_I0,52,9.478,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S1_I0,51,8.436,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S0_I1,8.425,1.452,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S0_I1,0.66,0.162,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S0_I1,0.357,0.124,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S0_I1,21.5,5.545,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S0_I1,60.75,12.13,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S0_I1,62,10.01,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N0_S1_I1,1.866,0.24,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N0_S1_I1,0.299,0.093,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N0_S1_I1,0.446,0.102,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N0_S1_I1,9.75,3.198,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N0_S1_I1,52,9.478,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N0_S1_I1,84,21.95,na,4,se,table
107_Chara-Serna2019_biomass_td,phytoplankton biomass,N1_S1_I1,8.934,2.002,na,4,se,table
107_Chara-Serna2019_biomass_td,zooplankton biomass,N1_S1_I1,0.409,0.064,na,4,se,table
107_Chara-Serna2019_biomass_td,periphyton biomass,N1_S1_I1,0.631,0.137,na,4,se,table
107_Chara-Serna2019_biomass_td,small-invert abundance,N1_S1_I1,10.5,3.122,na,4,se,table
107_Chara-Serna2019_biomass_td,medium-invert abundance,N1_S1_I1,60.75,12.13,na,4,se,table
107_Chara-Serna2019_biomass_td,large-invert abundance,N1_S1_I1,72.75,10.38,na,4,se,table
161_Lucas2019_invertebrate_abundance_td,Amphipod,AB0_FU0,3.42,na,5.93,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Annelida,AB0_FU0,1.14,na,1.4,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Blattaria,AB0_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera Larvae,AB0_FU0,7.5,na,5.08,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Entomobryidae,AB0_FU0,5.85,na,3.71,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hypogastruridae,AB0_FU0,26.35,na,18.75,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isopoda (isopod),AB0_FU0,3.92,na,6.73,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isoptera,AB0_FU0,0.28,na,0.61,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diplopoda (millipede),AB0_FU0,3.71,na,2.61,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neelidae,AB0_FU0,6.28,na,6.94,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Oribatid,AB0_FU0,152.85,na,103.04,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Scolytidae,AB0_FU0,0.57,na,0.97,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ants,AB0_FU0,6.78,na,8.14,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Aranea,AB0_FU0,1.5,na,1.51,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Coleoptera,AB0_FU0,2.92,na,2.43,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Dipluria,AB0_FU0,0.78,na,1.05,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera,AB0_FU0,11.07,na,8.16,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Gamasid,AB0_FU0,20.21,na,10.86,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hemiptera,AB0_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ioxid,AB0_FU0,0.14,na,0.36,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neuroptera,AB0_FU0,0.07,na,0.26,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Opilliones,AB0_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Pseudoscorpion,AB0_FU0,0.64,na,0.74,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Staphylinidae,AB0_FU0,0.57,na,0.93,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Amphipod,AB0_FU1,1.36,na,2.01,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Annelida,AB0_FU1,0.48,na,0.92,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Blattaria,AB0_FU1,0.02,na,0.15,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera Larvae,AB0_FU1,5.71,na,5.82,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Entomobryidae,AB0_FU1,8.5,na,8.32,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hypogastruridae,AB0_FU1,29.74,na,31.61,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isopoda (isopod),AB0_FU1,0.97,na,1.55,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isoptera,AB0_FU1,0.452,na,1.52,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diplopoda (millipede),AB0_FU1,2.45,na,2.11,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neelidae,AB0_FU1,4.69,na,3.99,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Oribatid,AB0_FU1,120.52,na,86.29,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Scolytidae,AB0_FU1,1,na,1.68,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ants,AB0_FU1,8.61,na,13.48,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Aranea,AB0_FU1,1.78,na,1.68,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Coleoptera,AB0_FU1,3.33,na,3.68,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Dipluria,AB0_FU1,0.64,na,1.83,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera,AB0_FU1,20.23,na,20.16,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Gamasid,AB0_FU1,19.3,na,15.49,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hemiptera,AB0_FU1,0.02,na,0.15,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ioxid,AB0_FU1,0.14,na,0.35,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neuroptera,AB0_FU1,0.04,na,0.22,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Opilliones,AB0_FU1,0.05,na,0.31,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Pseudoscorpion,AB0_FU1,0.26,na,0.49,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Staphylinidae,AB0_FU1,0.4,na,0.76,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Amphipod,AB1_FU0,1.4,na,2.23,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Annelida,AB1_FU0,0.38,na,0.58,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Blattaria,AB1_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera Larvae,AB1_FU0,4.57,na,3.19,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Entomobryidae,AB1_FU0,7.02,na,4.99,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hypogastruridae,AB1_FU0,21.9,na,25.19,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isopoda (isopod),AB1_FU0,1.11,na,3.17,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Isoptera,AB1_FU0,0.31,na,1.13,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diplopoda (millipede),AB1_FU0,2.26,na,2.52,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neelidae,AB1_FU0,7.71,na,8.19,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Oribatid,AB1_FU0,92.66,na,71,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Scolytidae,AB1_FU0,0.85,na,1.42,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ants,AB1_FU0,7.21,na,10.94,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Aranea,AB1_FU0,1.81,na,1.31,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Coleoptera,AB1_FU0,3.12,na,2.15,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Dipluria,AB1_FU0,0.55,na,1.25,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Diptera,AB1_FU0,13.74,na,15.44,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Gamasid,AB1_FU0,14.17,na,10.97,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Hemiptera,AB1_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Ioxid,AB1_FU0,0.17,na,0.58,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Neuroptera,AB1_FU0,0.07,na,0.26,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Opilliones,AB1_FU0,0,na,0,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Pseudoscorpion,AB1_FU0,0.38,na,0.58,7,sd,table
161_Lucas2019_invertebrate_abundance_td,Staphylinidae,AB1_FU0,0.38,na,0.85,7,sd,table
2117_Raybuck2012_plant_growth,canopy growth,H0_PD0_F0,3.4 ,1.1,na,5,se,table
2117_Raybuck2012_plant_growth,canopy growth,H1_PD0_F0,−2.9, 2.4,na,5,se,table
2117_Raybuck2012_plant_growth,canopy growth,H0_PD1_F0,−39.8 , 6.1,na,5,se,table
2117_Raybuck2012_plant_growth,canopy growth,H0_PD0_F1,2.1 ,2.5,na,3,se,table
2117_Raybuck2012_plant_growth,understory growth,H0_PD0_F0,−4.6, 1.6,na,5,se,table
2117_Raybuck2012_plant_growth,understory growth,H1_PD0_F0,3.3 ,0.6,na,5,se,table
2117_Raybuck2012_plant_growth,understory growth,H0_PD1_F0,2.9 ,3.3,na,5,se,table
2117_Raybuck2012_plant_growth,understory growth,H0_PD0_F1,9.3 ,6.1,na,3,se,table
2335_Williamson2011_plant_growth,alder growth,N0_O0,309,134,na,5,se,table
2335_Williamson2011_plant_growth,alder growth,N1_O0,381,87,na,5,se,table
2335_Williamson2011_plant_growth,alder growth,N0_O1,225,47,na,5,se,table
2335_Williamson2011_plant_growth,birch growth,N0_O0,83,36,na,5,se,table
2335_Williamson2011_plant_growth,birch growth,N1_O0,289,113,na,5,se,table
2335_Williamson2011_plant_growth,birch growth,N0_O1,483,163,na,5,se,table
2335_Williamson2011_plant_growth,gorse growth,N0_O0,232,150,na,5,se,table
2335_Williamson2011_plant_growth,gorse growth,N1_O0,195,55,na,5,se,table
2335_Williamson2011_plant_growth,gorse growth,N0_O1,428,177,na,5,se,table
2335_Williamson2011_plant_growth,oak growth,N0_O0,2,0.7,na,5,se,table
2335_Williamson2011_plant_growth,oak growth,N1_O0,21,7,na,5,se,table
2335_Williamson2011_plant_growth,oak growth,N0_O1,13,3,na,5,se,table
2335_Williamson2011_plant_growth,rowan growth,N0_O0,13,5,na,5,se,table
2335_Williamson2011_plant_growth,rowan growth,N1_O0,104,27,na,5,se,table
2335_Williamson2011_plant_growth,rowan growth,N0_O1,72,19,na,5,se,table
2599_Peay2009_funghi_occurance,Ascomycete sp. MF3,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Athelioid sp. MF1,T0_FI0,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Cantharellales sp. MF2,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF5,T0_FI0,7,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF21,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Humicola sp. MF4,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Laccaria proxima,T0_FI0,31,na,na,na,na,table
2599_Peay2009_funghi_occurance,Phialocephala fortinii,T0_FI0,2,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon occidentalis,T0_FI0,10,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon olivaceotinctus,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon salebrosus,T0_FI0,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon vulgaris,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Sebacinaceae sp. MF12,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus brevipes,T0_FI0,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pungens,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pseudobrevipes,T0_FI0,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus quiescens sp. MF20,T0_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus tomentosus,T0_FI0,2,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tomentella sublilacina,T0_FI0,10,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tylospora sp. MF17,T0_FI0,6,na,na,na,na,table
2599_Peay2009_funghi_occurance,Wilcoxina mikolae,T0_FI0,56,na,na,na,na,table
2599_Peay2009_funghi_occurance,Ascomycete sp. MF3,T0_FI1,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Athelioid sp. MF1,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Cantharellales sp. MF2,T0_FI1,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF5,T0_FI1,5,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF21,T0_FI1,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Humicola sp. MF4,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Laccaria proxima,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Phialocephala fortinii,T0_FI1,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon occidentalis,T0_FI1,16,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon olivaceotinctus,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon salebrosus,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon vulgaris,T0_FI1,1,na,na,na,na,table
2599_Peay2009_funghi_occurance,Sebacinaceae sp. MF12,T0_FI1,2,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus brevipes,T0_FI1,3,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pungens,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pseudobrevipes,T0_FI1,11,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus quiescens sp. MF20,T0_FI1,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus tomentosus,T0_FI1,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tomentella sublilacina,T0_FI1,5,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tylospora sp. MF17,T0_FI1,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Wilcoxina mikolae,T0_FI1,47,na,na,na,na,table
2599_Peay2009_funghi_occurance,Ascomycete sp. MF3,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Athelioid sp. MF1,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Cantharellales sp. MF2,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF5,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF21,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Humicola sp. MF4,T1_FI0,25,na,na,na,na,table
2599_Peay2009_funghi_occurance,Laccaria proxima,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Phialocephala fortinii,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon occidentalis,T1_FI0,19,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon olivaceotinctus,T1_FI0,15,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon salebrosus,T1_FI0,7,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon vulgaris,T1_FI0,4,na,na,na,na,table
2599_Peay2009_funghi_occurance,Sebacinaceae sp. MF12,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus brevipes,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pungens,T1_FI0,9,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pseudobrevipes,T1_FI0,11,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus quiescens sp. MF20,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus tomentosus,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tomentella sublilacina,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Tylospora sp. MF17,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Wilcoxina mikolae,T1_FI0,25,na,na,na,na,table
2599_Peay2009_funghi_occurance,Ascomycete sp. MF3,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Athelioid sp. MF1,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Cantharellales sp. MF2,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF5,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Helotiales sp. MF21,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Humicola sp. MF4,T1_FI0,15,na,na,na,na,table
2599_Peay2009_funghi_occurance,Laccaria proxima,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Phialocephala fortinii,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon occidentalis,T1_FI0,21,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon olivaceotinctus,T1_FI0,28,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon salebrosus,T1_FI0,9,na,na,na,na,table
2599_Peay2009_funghi_occurance,Rhizopogon vulgaris,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Sebacinaceae sp. MF12,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus brevipes,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pungens,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus pseudobrevipes,T1_FI0,0,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus quiescens sp. MF20,T1_FI0,5,na,na,na,na,table
2599_Peay2009_funghi_occurance,Suillus tomentosus,T1_FI0,0,na,na,na,na,table
